Sample	Site	Condition	pH_KCl	pH	Conductivity	Sulphate	Bicarbonate	N	K_assim	P_assim	SOM	C_N	Sand	Slime	Clay	Field_capacity
prNSD01	Snevada	Symptomatic	5.96	6.5	84	10	47	0.21	244.2	8.48	7.8	21.54	55	15	30	34.34
prNSD02	Snevada	Symptomatic	6.32	6.7	74	0	41	0.14	241.6	6.08	1.98	8.2	54.5	20.7	24.8	22.65
prNSD03	Snevada	Symptomatic	6.12	7.1	98	0	54	0.15	250.2	7.02	2.98	11.52	55.6	17.7	26.7	24.68
prNSD04	Snevada	Symptomatic	6.44	7.1	71	0	42	0.11	235.4	8.98	1.72	9.07	58.1	14	27.9	19.85
prNSD05	Snevada	Symptomatic	6.44	7.2	145	2.7	81	0.14	287	7.16	2.91	12.06	60.2	13.3	26.5	26.05
prNSD06	Snevada	Symptomatic	5.7	6.7	310	11	168	0.24	276	9.1	5.62	13.58	66.2	4.2	29.6	29.72
prNSD07	Snevada	Symptomatic	6.1	6.9	116	0	78	0.17	280.4	6.9	3.72	12.69	61.3	12.9	25.8	26.65
prNSD08	Snevada	Symptomatic	6.67	7	142	0	79	0.16	335.4	12.26	3.58	12.98	56.2	14.6	29.2	22.61
prNSD09	Snevada	Symptomatic	6.44	7	86	0	49	0.13	243.2	9.86	2.27	10.13	60.1	13.3	26.6	22.84
prNSD10	Snevada	Symptomatic	6.4	7	164	2.5	92	0.13	405.2	12.32	3.33	14.86	55.6	14.8	29.6	26.63
prNSD11	Snevada	Symptomatic	6.22	6.9	132	0	78	0.14	231.4	7.58	2.38	9.86	54.1	19.4	29.2	24.72
prNSD12	Snevada	Symptomatic	5.86	6.6	189	3	114	0.24	241.4	8.97	9.97	24.1	60.1	15	24.9	35.72
prNSH01	Snevada	Asymptomatic	5.97	6.5	105	7	46	0.13	165.11	0.1	3.25	14.5	57.3	9.5	33.2	22.84
prNSH02	Snevada	Asymptomatic	5.88	6.8	287	5	160	0.21	217.86	0.1	5.12	14.14	57.3	9.5	33.2	29.96
prNSH03	Snevada	Asymptomatic	5.92	6.8	249	5	132	0.16	152.14	0.1	4.05	14.68	52.4	14.3	33.3	29.78
prNSH04	Snevada	Asymptomatic	6.01	6.8	251	0	144	0.23	240.24	0.1	5.59	14.1	60.3	10	29.7	32.12
prNSH05	Snevada	Asymptomatic	6.06	6.8	270	2.7	136	0.16	180.17	0.1	4.46	16.17	55.4	9.9	34.7	27.55
prNSH06	Snevada	Asymptomatic	5.83	6.8	375	9	193	0.2	239.68	0.1	6.91	20.04	61	9.7	29.3	33.1
prNSH07	Snevada	Asymptomatic	5.95	6.9	202	2.8	119	0.18	174.4	8.19	5.1	16.43	57.7	14.1	28.2	25.5
prNSH08	Snevada	Asymptomatic	6.06	6.4	121	4	63	0.19	351	10.79	5.71	17.43	60	15	25	33.06
prNSH09	Snevada	Asymptomatic	5.81	6.3	115	5	57	0.17	198.4	11.04	5.62	19.18	61.8	14.3	23.9	30.79
prNSH10	Snevada	Asymptomatic	6.08	6.7	84	0	56	0.16	218	9.69	4.08	14.79	51.4	19.4	29.2	22.86
prNSH11	Snevada	Asymptomatic	5.68	6.2	86	0	46	0.12	197.8	10.14	3.51	16.97	60.1	17.7	22.2	17.95
prNSH12	Snevada	Asymptomatic	5.87	6.4	77	2.7	32	0.14	186.4	10.62	3.96	16.41	60.9	17.4	21.7	23.02
prASH01	Almijara	Asymptomatic	5.72	6.4	76	5	22	0.09	285.56	4.81	2.88	18.56	59.1	18.2	22.7	26.86
prASH02	Almijara	Asymptomatic	5.42	6.6	214	6	32	0.23	432.16	13.98	6.91	17.43	65.2	13.1	21.7	38.74
prASH03	Almijara	Asymptomatic	4.92	6	121	8	22	0.31	397.8	0	8.98	16.8	62.1	14.2	23.7	44.42
prASH04	Almijara	Asymptomatic	4.99	6	182	7	27	0.34	260	10.2	11.28	19.24	68	9.1	22.9	50.91
prASH05	Almijara	Asymptomatic	4.75	5.9	240	26	26	0.39	258.08	9.69	9.09	13.52	66.7	9.5	23.8	46.9
prASH06	Almijara	Asymptomatic	5.85	6.8	246	4	127	0.12	416.46	0	3.92	18.95	62.1	12.7	25.2	33.88
prASH07	Almijara	Asymptomatic	5.09	6.5	188	0	93	0.21	299.32	0	10.27	28.37	69.6	8.7	21.7	53.03
prASH08	Almijara	Asymptomatic	5.16	6.2	85	4	32	0.24	310.34	21.06	9.17	22.16	64.8	17.6	17.6	38.89
prASH09	Almijara	Asymptomatic	5.34	6.6	93	0	51	0.12	380.94	0	3.98	19.24	50.6	24.7	24.7	28.96
prASH10	Almijara	Asymptomatic	5.26	6.6	233	5	122	0.22	363.32	11.48	9.45	24.92	55.9	19.6	24.5	44.11
prASH11	Almijara	Asymptomatic	5.81	6.7	272	3.3	143	0.14	429.44	0	4.88	20.22	66.3	9.6	24.1	30.27
prASH12	Almijara	Asymptomatic	5.37	5.8	192	5	33	0.31	267.48	7.65	12	22.45	51.2	29.3	19.5	50.3
prBSD01	Baza	Symptomatic	6.19	6.8	84	4	46	0.05	136.2	13.12	0.82	9.51	70.2	9.9	19.9	20.05
prBSD02	Baza	Symptomatic	6.24	6.7	133	4	68	0.05	150.8	9.06	1.01	11.72	71.3	4.8	23.9	20.46
prBSD03	Baza	Symptomatic	6.79	6.5	117	2.7	55	0.08	168.8	14.77	2.49	18.05	69.6	8.7	21.7	26.49
prBSD04	Baza	Symptomatic	6.48	7	146	3	78	0.05	168.2	9.31	1.27	14.73	67.1	8.2	24.7	21.71
prBSD05	Baza	Symptomatic	6.28	6.9	97	0	56	0.07	91.2	4.87	1.52	12.6	67.5	8.2	24.3	21.25
prBSD06	Baza	Symptomatic	6.1	6.8	117	6	62	0.05	155.8	8.43	1.24	14.39	67.8	12.1	20.1	22.04
prBSD07	Baza	Symptomatic	5.49	6.2	165	5	55	0.08	121.76	10.57	2.63	19.07	74.5	8.5	17	23.29
prBSD08	Baza	Symptomatic	5.94	6.7	124	7	54	0.04	264.2	14.56	1.03	14.94	77.2	4.5	18.3	20.78
